Date,Open,High,Low,Close,Adj Close,Volume
5/6/2022,33416.97656,37537.37109,32475.86523,37345.12109,37345.12109,53972919008
5/5/2022,37389.51563,38334.32422,35847.59375,36702.59766,36702.59766,43576032854
5/4/2022,36697.03125,37608.69531,36044.44922,37334.39844,37334.39844,38699736985
5/3/2022,37340.14453,37408.92578,34728.19141,35552.51563,35552.51563,37924228550
5/2/2022,35555.78906,39322.78125,34864.10938,39097.85938,39097.85938,40669112838
4/29/2022,39016.96875,40978.36328,38757.28516,40218.47656,40218.47656,43148914673
4/28/2022,40427.16797,41295.26953,39609.46875,40406.26953,40406.26953,46420149185
4/27/2022,40168.69141,40516.77734,38176.03516,38347.0625,38347.0625,39211635100
4/26/2022,38341.42188,39513.67188,37439.67578,38053.50391,38053.50391,37096670047
4/25/2022,38099.47656,38187.26172,35255.85547,35787.24609,35787.24609,36200887275
4/22/2022,35854.52734,36457.79688,34933.0625,35615.87109,35615.87109,31207279719
4/21/2022,35563.14063,36059.48438,33432.07422,35698.29688,35698.29688,36664034054
4/20/2022,35641.14453,35721.64063,31295.93555,31676.69336,31676.69336,52809038594
4/19/2022,31622.37695,33292.45313,28893.62109,32505.66016,32505.66016,58964353058
4/18/2022,32515.71484,34753.41016,31772.63281,33723.02734,33723.02734,46317108925
4/14/2022,33682.80078,35228.85156,32385.21484,34662.4375,34662.4375,33123368116
4/13/2022,34659.10547,35487.24609,31350.88477,31637.7793,31637.7793,40230904226
4/12/2022,31594.66406,32637.58789,30184.50195,32186.27734,32186.27734,38585385521
4/11/2022,32287.52344,34656.12891,32071.75781,34649.64453,34649.64453,35511640894
